Valor;Dt_Vcto;Dt_Pgto;Observação;Local_Pgto;ND;MES_ANO;SOMA?;Sequencial
49,99;01/02/2018;01/02/2018;Telefone: 9.9324-0594;BRA;070;201802;VERDADEIRO;220
178,93;05/03/2018;05/03/2018;Net - R4-CS52 - 3195440450;BRA;037;201803;VERDADEIRO;221
-1327;26/01/2018;30/01/2018;Deposito APARTAMENTO 397+930;BRA;061;201801;VERDADEIRO;222
780,52;30/01/2018;30/01/2018;Isabelle - Colegio AGNUS;STA;076;201801;VERDADEIRO;223
132,84;05/02/2018;05/02/2018;Eletropaulo - R4-CS52 - 100067063086;BRA;035;201802;VERDADEIRO;224
48,55;06/02/2018;06/02/2018;Sabesp - Praia - 0323678483;BRA;046;201802;VERDADEIRO;225
52,1;01/02/2018;01/02/2018;Somente controle;CIN;074;201802;VERDADEIRO;226
350;05/02/2018;05/02/2018;CINTIA PAGOU EM ESPECIE;ESP;055;201802;VERDADEIRO;227
350;20/02/2018;05/02/2018;SONIA - DIA 20 - CINTIA PAGOU EM ESPECIE;ESP;054;201802;VERDADEIRO;228
95,18;05/02/2018;04/02/2018;Eletropaulo - Apartamento - B13-Ap.26;STA;048;201802;VERDADEIRO;229
1849,33;05/02/2018;04/02/2018;Cartão de Crédito Nubank;STA;042;201802;VERDADEIRO;230
-600;05/02/2018;;Caução;BRA;075;201802;VERDADEIRO;231
-600;06/10/2017;06/10/2017;Caução;BRA;068;201710;VERDADEIRO;232
27,06;19/02/2018;19/02/2018;Não atingiu valor mínimo - 27,06;BRA;045;201802;FALSO;233
1314,58;28/02/2018;28/02/2018;Agendei no dia 18/02 para pagar em 28/02;BRA;076;201802;VERDADEIRO;234
2013,51;20/02/2018;22/02/2018;PRC 1;BRA;077;201802;FALSO;235
1865,34;05/03/2018;04/03/2018;Cartão de Crédito Nubank;BRA;042;201803;VERDADEIRO;236
-1000;19/02/2018;19/02/2018;Caucão de 2  alugueis de 500,00;BRA;078;201802;VERDADEIRO;237
307,96;15/02/2018;19/02/2018;Condomínio CASA 52;BRA;038;201802;VERDADEIRO;238
63,74;27/02/2018;27/02/2018;Sabesp - R4-CS52 - 0182247090;BRA;036;201802;VERDADEIRO;239
366,21;15/02/2018;28/02/2018;Condomínio + Sabesp - APARTAMENTO;BRA;049;201802;VERDADEIRO;240
49,99;01/03/2018;01/03/2018;Telefone: 9.9324-0594;BRA;070;201803;VERDADEIRO;241
168,73;05/02/2018;05/02/2018;Net - R4-CS52 - 3195440450;BRA;037;201802;VERDADEIRO;242
56,81;02/03/2018;10/03/2018;Acumulado 02/01 / 01/02 e 02/03;BRA;071;201803;VERDADEIRO;243
81,53;05/03/2018;05/03/2018;Eletropaulo - R4-CS52 - 100067063086;BRA;035;201803;VERDADEIRO;244
139,44;05/03/2018;04/03/2018;Eletropaulo - Apartamento - B13-Ap.26;BRA;048;201803;VERDADEIRO;245
687;30/06/2021;28/06/2021;Pago via DDA - Documento: 0000454 - Pago antecipado;BRA;076;202106;VERDADEIRO;1636
109,06;01/07/2021;01/07/2021;Debitou Inter;INT;073;202107;VERDADEIRO;1637
220,73;05/07/2021;05/07/2021;Seguro - PRC 5 de 6;BRA;102;202107;VERDADEIRO;1638
139,99;05/07/2021;05/07/2021;9  Pagamento - Debitou automaticamente no Bradesco;BRA;131;202107;VERDADEIRO;1639
59,99;01/07/2021;01/07/2021;Debitou Bradesco;BRA;070;202107;VERDADEIRO;1640
699,92;05/07/2021;05/07/2021;Fatura do Cartão Inter;INT;042;202107;VERDADEIRO;1641
150;04/07/2021;04/07/2021;Cintia pagou  Sonia - Diarista;ESP;055;202107;VERDADEIRO;1642
98,09;12/07/2021;12/07/2021;Eletropaulo - R4-CS52 - 100067063086 - DEBITOU BRADESCO 6597682;BRA;035;202107;VERDADEIRO;1643
54,62;05/07/2021;05/07/2021;Enel - Rosimeire pagou;BRA;088;202107;FALSO;1644
58,29;11/07/2021;12/07/2021;Debitou Inter;INT;046;202107;VERDADEIRO;1645
22,45;01/07/2021;01/07/2021;Não atingiu o mínimo;INT;071;202107;FALSO;1646
773,86;21/06/2021;04/07/2021;FEDERAL    - PERIODO DE APURAÇÃO: MAIO/2021 - PIX INTER;PIX;124;202106;FALSO;1647
-113,5;15/07/2021;09/07/2021;Pix R$ 113,50 - 09/07;BRA;097;202107;VERDADEIRO;1648
89,9;10/07/2021;12/07/2021;8 Paguei no Inter - Atraso;BRA;132;202107;VERDADEIRO;1649
189,9;12/07/2021;12/07/2021;Vlr 189,90 p 6 meses = 31,65 por mês - VENC: daqui 6 meses;BRA;127;202107;VERDADEIRO;1650
683,64;05/08/2021;12/07/2021;Fat do  + Liquidacao das parcelas futuras - NUBANK;INT;042;202108;VERDADEIRO;1651
584,88;05/08/2021;12/07/2021;Fat do  + Liquidacao das parcelas futuras -INTER;INT;042;202108;VERDADEIRO;1652
339,9;05/08/2021;12/07/2021;Fat do  + Liquidacao das parcelas futuras -INTER;INT;042;202108;VERDADEIRO;1653
584,88;05/08/2021;12/07/2021;Fat do  + Liquidacao das parcelas futuras -INTER;INT;042;202108;VERDADEIRO;1654
330,09;15/07/2021;13/07/2021;Condomínio CASA 52 - PROTOCOLO 456;BRA;038;202107;VERDADEIRO;1655
450,85;15/07/2021;13/07/2021;Condomínio + Sabesp - APARTAMENTO -  PAGO VIA DDA:457;BRA;049;202107;VERDADEIRO;1656
397,33;15/07/2021;13/07/2021;Pago Itamar;INT;092;202107;VERDADEIRO;1657
-1200;15/07/2021;07/07/2021;Pix R$ 1.200,00 -;BRA;117;202107;VERDADEIRO;1658
-650;17/07/2021;13/07/2021;12º Aluguel - Pix Inter 1.150,00;Int;129;202107;VERDADEIRO;1659
-500;17/07/2021;13/07/2021;2º Aluguel - Pix Inter 1.150,00;Int;137;202107;VERDADEIRO;1660
-1300;05/07/2021;20/07/2021;Pix R$ 1.355,55 = 1300+55,55;BRA;135;202107;VERDADEIRO;1662
-50;15/06/2021;15/06/2021;Nao cobrei;BRA;098;202106;VERDADEIRO;1663
141,4;20/07/2021;21/07/2021;HONORARIOS CONTADOR - COMPETENCIA JUNHO/2021;INT;122;202107;FALSO;1664
971,68;21/07/2021;21/07/2021;FEDERAL    - PERIODO DE APURAÇÃO: JUNHO/2021 - INTER;PIX;124;202107;FALSO;1665
500,48;20/07/2021;21/07/2021;COMPETENCIA: 06/2021;INT;121;202107;FALSO;1666
100,69;20/07/2021;22/07/2021;IRRF APURACAO 30/06/2021;INT;125;202107;FALSO;1667
-500,8;29/07/2021;29/07/2021;NUMERO DO RECIBO:  - 2021;BRA;083;202107;FALSO;1668
58,29;28/07/2021;28/07/2021;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202107;VERDADEIRO;1669
59,99;02/08/2021;02/08/2021;Debitou Bradesco;BRA;070;202108;VERDADEIRO;1670
221,35;05/08/2021;05/08/2021;Seguro - PRC 6 de 6;BRA;102;202108;VERDADEIRO;1671
146,99;05/08/2021;05/08/2021;10  Pagamento - Debitou automaticamente no Bradesco;BRA;131;202108;VERDADEIRO;1672
150;11/07/2021;11/07/2021;Cintia pagou  Sonia - Diarista;ESP;055;202107;VERDADEIRO;1674
150;18/07/2021;18/07/2021;Cintia pagou  Sonia - Diarista;ESP;055;202107;VERDADEIRO;1675
150;25/07/2021;25/07/2021;Cintia pagou  Sonia - Diarista;ESP;055;202107;VERDADEIRO;1676
-2307,16;31/07/2021;31/07/2021;Creditado na conta da Cintia C6;C6;084;202107;FALSO;1677
701,42;31/07/2021;01/08/2021;Pago via DDA - Documento: 0000458 - Pago com atraso;BRA;076;202107;VERDADEIRO;1678
48,37;01/08/2021;01/08/2021;Enel - Rosimeire pagou;BRA;088;202108;FALSO;1679
232,24;09/08/2021;09/08/2021;Eletropaulo - R4-CS52 - 100067063086 - DEBITOU BRADESCO 6597682;BRA;035;202108;VERDADEIRO;1680
58,29;10/08/2021;10/08/2021;Debitou Inter;INT;046;202108;VERDADEIRO;1681
-500;17/05/2021;12/05/2021;Caução  de um  mês;Int;137;202105;VERDADEIRO;1595
137,9;20/05/2021;16/05/2021;HONORARIOS CONTADOR - COMPETENCIA ABRIL/2021;INT;122;202105;FALSO;1597
402,6;20/05/2021;17/05/2021;COMPETENCIA: 04/2021;BRA;121;202105;FALSO;1598
84,01;20/05/2021;17/05/2021;IRRF APURACAO 30/04/2021;INT;125;202105;FALSO;1599
55,18;26/05/2021;26/05/2021;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202105;VERDADEIRO;1600
109,77;26/05/2021;26/05/2021;Debitou automatico do Inter;INT;072;202105;VERDADEIRO;1601
220,73;07/06/2021;07/06/2021;Seguro - PRC 4 de 6;BRA;102;202106;VERDADEIRO;1602
-1300;05/06/2021;20/05/2021;Rosimeire fez o pix para o Bradesco antecipadamente - 1.410,00 = 1300+55+55;BRA;135;202106;VERDADEIRO;1603
1923,25;05/06/2021;20/05/2021;Fat do  + Liquidacao das parcelas futuras;BRA;042;202106;VERDADEIRO;1604
733,84;20/04/2021;24/05/2021;FEDERAL    - PERIODO DE APURAÇÃO: MARCO/2021 - PIX INTER;PIX;124;202104;FALSO;1605
781,61;20/05/2021;24/05/2021;FEDERAL    - PERIODO DE APURAÇÃO: ABRIL/2021 - PIX INTER;PIX;124;202105;FALSO;1606
150;12/05/2021;12/05/2021;Cintia pagou  Sonia - Diarista;ESP;055;202105;VERDADEIRO;1607
687;30/05/2021;31/05/2021;Pago via DDA - Documento: 0000451 - Pago na data;BRA;076;202105;VERDADEIRO;1608
91,86;01/06/2021;01/06/2021;Debitou Inter;INT;073;202106;VERDADEIRO;1609
139,99;07/06/2021;07/06/2021;8  Pagamento - Debitou automaticamente no Bradesco;BRA;131;202106;VERDADEIRO;1610
150;02/06/2021;02/06/2021;Cintia pagou  Sonia - Diarista;ESP;055;202106;VERDADEIRO;1611
95,26;09/06/2021;09/06/2021;Eletropaulo - R4-CS52 - 100067063086 - DEBITOU BRADESCO 6597682;BRA;035;202106;VERDADEIRO;1613
177,52;12/07/2021;14/06/2021;PAGO;INT;123;202107;FALSO;1614
398,2;18/06/2021;14/06/2021;COMPETENCIA: 05/2021;INT;121;202106;FALSO;1615
105,37;18/06/2021;14/06/2021;IRRF APURACAO 30/05/2021;INT;125;202106;FALSO;1616
137,9;21/06/2021;14/06/2021;HONORARIOS CONTADOR - COMPETENCIA MAIO/2021;INT;122;202106;FALSO;1617
56,4;11/06/2021;11/06/2021;Debitou Inter;INT;046;202106;VERDADEIRO;1618
584,88;10/06/2021;10/06/2021;Fatura do Cartão Inter;INT;042;202106;VERDADEIRO;1619
-1200;15/06/2021;08/06/2021;Pix R$ 1.200,00 -0749482;BRA;117;202106;VERDADEIRO;1621
-121,98;15/06/2021;08/06/2021;Pix R$ 121,98 - 08/06;BRA;097;202106;VERDADEIRO;1622
59,99;01/06/2021;01/06/2021;Debitou Bradesco;BRA;070;202106;VERDADEIRO;1623
330,09;15/06/2021;14/06/2021;Condomínio CASA 52 - PROTOCOLO 452;BRA;038;202106;VERDADEIRO;1624
459,99;15/06/2021;14/06/2021;Condomínio + Sabesp - APARTAMENTO -  PAGO VIA DDA:453;BRA;049;202106;VERDADEIRO;1625
91,78;10/06/2021;14/06/2021;7 Paguei no Inter - Atraso;BRA;132;202106;VERDADEIRO;1626
117,06;24/06/2021;24/06/2021;Debitou automatico do Inter;INT;072;202106;VERDADEIRO;1627
22,14;23/06/2021;23/06/2021;Não atingiu o mínimo;INT;045;202106;FALSO;1628
21,99;01/06/2021;01/06/2021;Não atingiu o mínimo;INT;071;202106;FALSO;1629
28,73;07/06/2021;07/06/2021;Enel - Rosimeire pagou;BRA;088;202106;FALSO;1630
397,33;15/06/2021;14/06/2021;Pago Itamar;INT;092;202106;VERDADEIRO;1631
150;09/06/2021;09/06/2021;Cintia pagou  Sonia - Diarista;ESP;055;202106;VERDADEIRO;1632
-650;17/06/2021;17/06/2021;10º Aluguel - Pix Inter;Int;129;202106;VERDADEIRO;1633
-500;17/06/2021;17/06/2021;1º Aluguel;Int;137;202106;VERDADEIRO;1634
58,29;25/06/2021;25/06/2021;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202106;VERDADEIRO;1635
117,06;24/07/2021;25/08/2021;PAGO JOHANA;INT;072;202107;VERDADEIRO;1684
117,06;25/08/2021;25/08/2021;PAGO JOHANA;INT;072;202108;VERDADEIRO;1685
413,76;05/05/2023;02/05/2023;Fatura mês / Seguro Xterra - Pago pelo Inter;INT;144;202305;VERDADEIRO;2413
5308,24;05/05/2023;01/05/2023;Fatura mês - Antecipacao - Transferi do Inter para o Nubank e debitou na conta Nubank;INT;042;202305;VERDADEIRO;2414
1210;05/05/2023;04/05/2023;Pago no Inter;INT;138;202305;FALSO;2415
67,93;03/05/2023;03/05/2023;Debitou Inter;INT;046;202305;VERDADEIRO;2416
133,21;20/03/2023;20/03/2023;PAGO JOHANA;INT;072;202303;FALSO;2417
136,93;18/04/2023;18/04/2023;PAGO JOHANA;INT;072;202304;FALSO;2418
95,47;26/04/2023;26/04/2023;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202304;VERDADEIRO;2419
89,9;10/05/2023;02/05/2023;PAGO - INTER;INT;132;202305;VERDADEIRO;2422
77,64;13/04/2023;02/05/2023;Paguei Inter com atraso;INT;045;202304;FALSO;2423
25,94;13/05/2023;13/05/2023;Não atingiu o mínimo;INT;045;202305;FALSO;2424
137,72;25/04/2023;22/05/2023;Johana pagou;INT;073;202304;FALSO;2425
80,66;25/04/2023;25/04/2023;Johana pagar;INT;071;202304;FALSO;2426
192,05;09/05/2023;10/05/2023;Eletropaulo - R4-CS52 -;INT;035;202305;VERDADEIRO;2427
67,6;02/05/2023;02/05/2023;Paguei manualmente no Inter;INT;070;202305;VERDADEIRO;2428
137,23;05/05/2023;02/05/2023;Pago manualmente no INTER;INT;131;202305;VERDADEIRO;2429
250;05/05/2023;01/05/2023;Perua 4/12 - Karoline - 7.ANO;INT;147;202305;VERDADEIRO;2431
-1375;10/05/2023;03/05/2023;10º Aluguel + Sabesp;BRA;140;202305;VERDADEIRO;2432
385,52;15/05/2023;10/05/2023;Condomínio CASA 52 -  PAGO VIA DDA INTER;INT;038;202305;VERDADEIRO;2433
491,07;15/05/2023;10/05/2023;Condomínio + Sabesp - APARTAMENTO -  PAGO;INT;049;202305;VERDADEIRO;2434
497,1;15/05/2023;10/05/2023;Pago Itamar;INT;092;202305;VERDADEIRO;2435
162,75;20/05/2023;10/05/2023;HONORARIOS CONTADOR - COMPETENCIA ABRIL/2023;INT;122;202305;FALSO;2436
539;20/05/2023;11/05/2023;COMPETENCIA: 04/2023;INT;121;202305;FALSO;2437
302,44;20/05/2023;10/05/2023;IRRF APURACAO 30/04/2023;INT;125;202305;FALSO;2438
915,32;20/05/2023;14/05/2023;FEDERAL    - PERIODO DE APURAÇÃO: Abril/2023 - PIX;INT;124;202305;FALSO;2439
-350;18/04/2023;20/05/2023;15º Aluguel - Pix Inter 350,00 - Pago com bastante atraso;Int;139;202304;VERDADEIRO;2440
-1300;20/05/2023;19/05/2023;Pix R$ 1.360,00 = 1300+60,00;BRA;135;202305;VERDADEIRO;2441
1251;30/05/2023;22/05/2023;Mensalidade 5/12 e Matricula 5/5 -> 1.112,00 + 139,00 = 1.251,00;INT;142;202305;VERDADEIRO;2442
86,75;24/05/2023;24/05/2023;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202305;VERDADEIRO;2444
3893,03;05/06/2023;01/06/2023;Fatura mês;INT;143;202306;VERDADEIRO;2445
250;05/06/2023;04/06/2023;Perua 5/12 - Karoline - 7.ANO;INT;147;202306;VERDADEIRO;2446
413,76;05/06/2023;01/06/2023;Fatura mês / Seguro Xterra - Pago pelo Inter;INT;144;202306;VERDADEIRO;2447
137,23;05/06/2023;19/06/2023;Pago manualmente no INTER;INT;131;202306;VERDADEIRO;2448
67,6;01/06/2023;02/06/2023;Paguei manualmente no Inter;INT;070;202306;VERDADEIRO;2450
165,29;09/06/2023;09/06/2023;Eletropaulo - R4-CS52 - 100067063086;INT;035;202306;VERDADEIRO;2451
27,82;13/06/2023;13/06/2023;Não atingiu o mínimo;INT;045;202306;FALSO;2452
49,74;22/05/2023;20/07/2023;Johana pagou;INT;073;202305;FALSO;2453
25,96;22/05/2023;22/05/2023;Não atingiu o mínimo;INT;071;202305;FALSO;2455
70,65;01/06/2023;01/06/2023;Debitou Inter;INT;046;202306;VERDADEIRO;2456
168,39;09/05/2023;18/05/2023;PAGO JOHANA;INT;072;202305;FALSO;2457
-1370;10/06/2023;02/02/2023;11º Aluguel + Sabesp;BRA;140;202306;VERDADEIRO;2458
395,9;05/06/2023;22/05/2023;Fatura mês - Antecipacao;INT;042;202306;VERDADEIRO;2459
68,96;04/07/2023;09/07/2023;Paguei manualmente no Inter - Atraso;INT;070;202307;VERDADEIRO;2491
206,85;22/11/2021;21/11/2021;HONORARIOS CONTADOR - COMPETENCIA OUTUBRO/2021 + ADICIONAL ANUAL;INT;122;202111;FALSO;1821
252,37;19/11/2021;21/11/2021;IRRF APURACAO 31/10/2021 - Paguei direto no Bradesco;BRA;125;202111;FALSO;1822
-1300;05/11/2021;19/11/2021;Pix R$ 1.360,00 = 1300+60,00;BRA;135;202111;VERDADEIRO;1823
66,33;26/11/2021;26/11/2021;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202111;VERDADEIRO;1824
423,83;15/11/2021;23/11/2021;Pago Itamar;INT;092;202111;VERDADEIRO;1825
476,76;20/11/2021;22/11/2021;COMPETENCIA: 10/2021;BRA;121;202111;FALSO;1826
887;30/11/2021;29/11/2021;Pago via DDA - Documento: Pago via site;BRA;076;202111;VERDADEIRO;1827
375;30/11/2021;29/11/2021;Pago via DDA - Documento: Pago via site;BRA;076;202111;VERDADEIRO;1828
775,42;05/12/2021;05/12/2021;Fat do  mes NUBANK;INT;042;202112;VERDADEIRO;1829
146,99;05/12/2021;06/12/2021;14  Pagamento - Debitou automaticamente no Bradesco;BRA;131;202112;VERDADEIRO;1830
171,79;09/12/2021;09/12/2021;Eletropaulo - R4-CS52 - 100067063086 - DEBITOU BRADESCO 6597682;BRA;035;202112;VERDADEIRO;1831
14,16;29/11/2021;29/11/2021;Não atingiu o mínimo;INT;071;202111;FALSO;1832
32,59;22/12/2021;22/12/2021;Não atingiu o mínimo;INT;071;202112;FALSO;1833
65,99;01/12/2021;01/12/2021;Debitou Bradesco;BRA;070;202112;VERDADEIRO;1834
122,02;29/10/2021;11/11/2021;Johana pagara - Enviei mensagem para ela via Whatsapp;INT;073;202110;FALSO;1835
104,85;29/11/2021;16/11/2021;Itamar pagou para tentar transferir;INT;073;202111;FALSO;1836
100,18;22/12/2021;22/12/2021;Johana pagou;INT;073;202112;FALSO;1837
342,82;15/12/2021;12/12/2021;Condomínio CASA 52 - 474;INT;038;202112;VERDADEIRO;1838
482,04;15/12/2021;12/12/2021;Condomínio + Sabesp - APARTAMENTO -  PAGO VIA DDA:473;BRA;049;202112;VERDADEIRO;1839
91,75;10/12/2021;12/12/2021;12 Paguei no Inter em atraso;BRA;132;202112;VERDADEIRO;1840
-1200;15/12/2021;07/12/2021;Pix R$ 1.330,64;BRA;117;202112;VERDADEIRO;1841
-130,64;15/12/2021;07/12/2021;Pix R$ 1.330,64;BRA;097;202112;VERDADEIRO;1842
415,52;15/12/2021;12/12/2021;Pago Itamar;INT;092;202112;VERDADEIRO;1843
121,11;24/11/2021;24/11/2021;PAGO JOHANA;INT;072;202111;FALSO;1844
128,88;10/12/2021;10/12/2021;PAGO JOHANA;INT;072;202112;FALSO;1845
375;20/12/2021;20/12/2021;Pago via DDA - Documento: 475;BRA;076;202112;VERDADEIRO;1846
887;30/12/2021;20/12/2021;Pago via DDA - Documento: 476;BRA;076;202112;VERDADEIRO;1847
975,41;20/12/2021;20/12/2021;FEDERAL    - PERIODO DE APURAÇÃO: NOVEMBRO/2021;INT;124;202112;FALSO;1848
502,7;20/12/2021;20/12/2021;COMPETENCIA: 11/2021 - PIX INTER;INT;121;202112;FALSO;1850
193,48;20/12/2021;20/12/2021;IRRF APURACAO 30/11/2021;INT;125;202112;FALSO;1851
206,85;20/12/2021;20/12/2021;HONORARIOS CONTADOR - COMPETENCIA NOVEMBRO/2021 + ADICIONAL ANUAL;INT;122;202112;FALSO;1852
300;15/12/2021;15/12/2021;Cintia pagou  Sonia - Diarista 150,00 13 SALARIO;ESP;055;202112;VERDADEIRO;1853
-650;20/12/2021;20/12/2021;17º Aluguel - Pix Inter 1.150,00;Int;129;202112;VERDADEIRO;1854
-500;20/12/2021;20/12/2021;7 º Aluguel - Pix Inter 1.150,00;Int;137;202112;VERDADEIRO;1855
67,41;28/12/2021;28/12/2021;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202112;VERDADEIRO;1856
28,69;13/01/2021;13/01/2021;Não atingiu o mínimo;INT;045;202101;FALSO;1857
0;13/12/2021;13/12/2021;Não atingiu o mínimo;INT;045;202112;FALSO;1858
59,09;03/01/2022;30/12/2021;Debitou Inter;INT;046;202201;VERDADEIRO;1859
218,91;10/01/2022;10/01/2022;Eletropaulo - R4-CS52 - 100067063086 - DEBITOU BRADESCO 6597682;BRA;035;202201;VERDADEIRO;1860
146,99;05/01/2022;05/01/2022;15  Pagamento - Debitou automaticamente no Bradesco;BRA;131;202201;VERDADEIRO;1861
65,99;01/01/2022;01/01/2022;Debitou Bradesco;BRA;070;202201;VERDADEIRO;1862
-500;07/01/2022;07/01/2022;Deposito que não sei do que se trata;BRA;128;202201;FALSO;1863
416,27;15/08/2022;15/08/2022;Condomínio + Sabesp - APARTAMENTO -  PAGO VIA DDA INTER;INT;049;202208;VERDADEIRO;2119
422,96;15/08/2022;15/08/2022;Pago Itamar;BRA;092;202208;VERDADEIRO;2120
-650;17/08/2022;20/08/2022;25º Aluguel - Pix Inter 1.600,00;Int;129;202208;VERDADEIRO;2121
-500;17/08/2022;20/08/2022;15º Aluguel - Pix Inter 1.600,00;Int;137;202208;VERDADEIRO;2122
-450;17/08/2022;20/08/2022;6º Aluguel - Pix Inter 1.600,00;Int;139;202208;VERDADEIRO;2123
-1300;10/08/2022;15/08/2022;1º Aluguel;BRA;140;202208;VERDADEIRO;2124
-70;15/08/2022;19/08/2022;Pix R$ 1.370,00 = 1300+70,00;BRA;098;202208;VERDADEIRO;2125
-1300;15/08/2022;19/08/2022;Pix R$ 1.370,00 = 1300+70,00;BRA;135;202208;VERDADEIRO;2126
600;30/07/2022;30/07/2022;Cintia pagou;ESP;055;202207;VERDADEIRO;2127
200;21/08/2022;21/08/2022;Cintia pagou;ESP;055;202208;VERDADEIRO;2128
74,86;26/08/2022;26/08/2022;Sabesp - R4-CS52 - 0182247090 - Debitou do Inter;INT;036;202208;VERDADEIRO;2129
970;30/08/2022;22/08/2022;750 - Mensalidade + 220 Transporte;BRA;076;202208;VERDADEIRO;2130
1120;05/09/2022;30/08/2022;Pago no Inter;INT;138;202209;FALSO;2131
-1300;10/09/2022;31/08/2022;2º Aluguel;BRA;140;202209;VERDADEIRO;2132
12,19;02/09/2022;02/09/2022;Fatura Cartao Inter - Complemento;BRA;042;202209;VERDADEIRO;2133
67,93;02/09/2022;02/09/2022;Debitou Inter;INT;046;202209;VERDADEIRO;2134
4000;02/09/2022;02/09/2022;Fatura Cartao Inter;INT;042;202209;VERDADEIRO;2135
-488,94;30/08/2022;30/08/2022;NUMERO DO RECIBO:  - 2022;BRA;083;202208;FALSO;2136
100;31/08/2022;31/08/2022;Cintia pagou - Abateu os 50,00;ESP;055;202208;VERDADEIRO;2137
150;01/09/2022;01/09/2022;Cintia pagou;ESP;055;202209;VERDADEIRO;2138
89,9;10/09/2022;10/09/2022;PAGO - INTER;INT;132;202209;VERDADEIRO;2139
146,99;05/09/2022;05/09/2022;Pago manualmente no INTER;BRA;131;202209;VERDADEIRO;2140
71,99;01/09/2022;04/09/2022;Paguei manualmente no Inter;BRA;070;202209;VERDADEIRO;2141
195,43;09/09/2022;09/09/2022;Eletropaulo - R4-CS52 - DEBITOU INTER;INT;035;202209;VERDADEIRO;2142
132,06;23/08/2022;23/08/2022;PAGO JOHANA;INT;072;202208;FALSO;2143
25,01;13/09/2022;13/09/2022;Não atingiu o mínimo;INT;045;202209;FALSO;2144
23,4;23/08/2022;21/11/2022;Não atingiu o mínimo;INT;071;202208;FALSO;2145
105,55;23/08/2022;13/10/2022;Johana pagou;INT;073;202208;FALSO;2146
2057,71;13/09/2022;12/09/2022;Prc 3 de 24 - Pago via DDA Inter;INT;141;202209;FALSO;2147
342,82;15/09/2022;12/09/2022;Condomínio CASA 52 -  PAGO VIA DDA:INTER;INT;038;202209;VERDADEIRO;2148
415,62;15/09/2022;12/09/2022;Condomínio + Sabesp - APARTAMENTO -  PAGO VIA DDA INTER;INT;049;202209;VERDADEIRO;2149
152;20/09/2022;12/09/2022;HONORARIOS CONTADOR - COMPETENCIA AGOSTO/2022;INT;122;202209;FALSO;2150
970;30/09/2022;12/09/2022;750 - Mensalidade + 220 Transporte;INT;076;202209;VERDADEIRO;2151
